page	entry	sub_id	is_head	score	status	scan	text_position	match_rel_start	match_rel_end	candidate_entries	detected_header_entry	reviewed	review_note	ocr_last_lines	xml_sublemma_preview
442	3040	10803040-1	0	93.33	ok	H4 6481 (8,1_0512.jpg	ends-here	0.545	0.993	3039|3040|3041		0		vac. p. 0. Johannis Juncher 17. mai. 62 S 543 20’, L 581 187°-189".	de can. et preb. colleg. eccl. s. Martini Bramessen. Brumessen. d. dioc. 3 m. arg. vac. p. o. Johannis Juncher 17. mai. 1462 S 543 20v , L 581 187v-189r .
443	3049	10803049-0	1	97.14	ok	H4 6481 (8,1_0513.jpg	complete-on-page	0.000	1.000	3048|3049|3050	3049	0	correctly matched head of entry 3049	3049 Johannes Herxemer presb. Ma- gunt. dioc.: m. adm. cess. (coram	Johannes Herxemer presb. Magunt. dioc.
444	3054	10803054-1	0	98.33	ok	H4 6481 (8,1_0514.jpg	continues	0.583	0.833	3053|3054|3055		0		perp. vicar. ad alt. b. Marie in col- leg. eccl. s. Andree Colon. (5 m.	de nova prov. de par. eccl. in Iserenloin d. dioc. 7 m. arg. p. ad quam vac. p. o. sive resign. Hilbrandi Sasse present. fuit p. Gerardum com. de Marka , n. o. perp. vicar. ad alt. b. Marie in colleg. eccl. s. Andree Colon. 5 m. arg. quam possidet 8. apr. 1461 S 538 53rs .
445	3057	10803057-3	0	74.07	ok	H4 6481 (8,1_0515.jpg	ends-here	0.930	1.000	3056|3057|3058		0		arg.) 30. mai. 60 S dioc, 531 PAT	de benef. alt. s. Johannis in par. eccl. ville Enkirch Trever. dioc. 3 m. arg. vac. p. resign. Nicolai Bracht presb. d. dioc. in manibus ordin. fact. , n. o. can. et preb. eccl. s. Petri e. m. Magunt. 9 ac can. et preb. eccl. s. Catherine in Oppenheym Magunt. dioc. 4 et capel. s. Nicolai in Dienheym Wormat. dioc. 3 necnon alt. s. Michaelis in par. eccl. in Ingelheym Magunt. dioc. 3 m. arg. 30. mai. 1460 S 531 121v .
446	3061	10803061-4	0	76.92	ok	H4 6481 (8,1_0516.jpg	ends-here	0.853	1.000	3060|3061|3062		0		tin. 11. aug. 63 S 566 118's., L 581 117°-118" - de par. eccl. in Lucz-	de can. et preb. eccl. Cur. 8 m. arg. vac. ex eo quod Johannes Losser presb. d. dioc. sent. excom. irretitus eosdem vac. p. o. Petri de Maramoria Marmore de nob. gen. auct. ordin. assec. extitit et p. 2 an. possidet, n. o. par. eccl. in Scharns Schurns < Cur. dioc. > 6 m. arg. quam obtin. 11. aug. 1463 S 566 118rs ., L 581 117r-118v .
447	3064	10803064-1	0	100.00	ok	H4 6481 (8,1_0517.jpg	continues	0.429	0.708	3063|3064|3065		0		reserv. pens. ann. tertie partis fruct. (datum Vienne Patav. dioc.	prov. de par. eccl. in Gersthofen d. dioc. 10 m. arg. vac. p. resign. Erpff Truckseser de Hefingen c. reserv. pens. ann. tertie partis fruct. datum Vienne Patav. dioc. p. Bessarionem in Alamania legatum 3. iul. 1460 Arm. 35.134 66vss .
448	3075	10803075-1	0	100.00	ok	H4 6481 (8,1_0518.jpg	continues	0.136	0.446	3074|3075|3076		0		eccl. s. Johannis in Haug e. m. Herbip. (17 m. arg.) vac. p. o. Eka-	de can. et preb. ac decan. eccl. s. Johannis in Haug e. m. Herbip. 17 m. arg. vac. p. o. Ekarii de Miltz , n. o. can. et preb. eccl. s. Gumberti Onolspacen. Herbip. dioc. 8 m. arg. 23. sept. 1458 S 510 24v .
449	3078	10803078-4	0	98.39	ok	H4 6481 (8,1_0519.jpg	continues	0.318	0.682	3077|3078|3079		0		Roderici s. Nicolai in carcere Tu- liano diac. card. S. R. E. vicecan-	de confic. litt. desup. c. express. quod Johannes Heydthoff Roderici s. Nicolai in carcere Tuliano diac. card. S. R. E. vicecancellarii not. et fam. extitit, sub priori dato S 513 215r .
450	3079	10803079-1	0	94.44	ok	H4 6481 (8,1_0520.jpg	ends-here	0.835	0.991	3078|3079|3080		0		Gengenbach fact. 7. decb. 60 S 533 30's.	de perp. s. c. benef. primaria nunc. in par. eccl. in Zelle Hammerschbach Argent. dioc. 3 m. arg. vac. ex eo quod possessor al. benef. assec. est, etiamsi vac. p. assec. par. eccl. d. dioc. p. Bernardum Hentschner de Gengenbach fact. 7. decb. 1460 S 533 30rs .
451	3089	10803089-1	0	100.00	manual	H4 6481 (8,1_0521.jpg	complete-on-page	0.000	1.000	3088|3089|3090		1	manual override via stage3b	3089.Johannes de Hurnhaim: pensio, August. s. d. I 329 3°	pensio, August. s. d. I 329 3r
452	3104	10803104-0	1	95.24	ok	H4 6481 (8,1_0522.jpg	complete-on-page	0.000	1.000	3103|3104|3105	3104	0	correctly matched head of entry 3104	3104 Jofhannes] Jeger (Jegir): 1. b. mai. 59 T 9 38" - cler. Magunt. dioc.:	Jo[hannes] Jeger Jegir
